"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.01uF/35V";"0.01UF_CER_SMD-0402_35V-10%";"CAPC1005X55_SMD-0402";"C23";"";"https://product.tdk.com/info/en/documents/chara_sheet/CGA2B3X5R1V103K050BB.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-12187-1-ND";"445-12187-1-ND";"TDK Corporation";"CGA2B3X5R1V103K050BB";"0.01uF/35V";
"6";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C21, C24, C29, C31, C32, C33";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"1";"1.5pF/50V/0402";"1.5PF_CER_SMD-0402-100V-5%";"CAPC1005X55_SMD-0402";"C34";"";"https://www.yuden.co.jp/productdata/catalog/mlcc04_e.pdf";"Digikey";"https://www.digikey.com/en/products/detail/taiyo-yuden/UVK105CH1R5BW-F/930363?s=N4IgTCBcDaIKwA4DsBaAjABjW9KByAIiALoC%2BQA";"587-1011-1-ND";"Taiyo Yuden";"UVK105CH1R5BW-F";"1.5pF/50V/0402";
"1";"1.8nH / 700mA";"1.8NH_SMD-0402_200MA-1.35OHM-2%";"INDC1005X32N";"L6";"Choke Power Inductors";"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=HK10051N8S-T%20%20&u=M";"Digikey";"https://www.digikey.com/en/products/detail/taiyo-yuden/HK10051N8S-T/957886?s=N4IgTCBcDaIKwA4DsBaAjHADG9KByAIiALoC%2BQA";"587-1501-1-ND";"Taiyo Yuden";"HK10051N8S-T";"1.8nH / 700mA";
"1";"100pF/50V";"100PF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C30";"";"http://datasheets.avx.com/X7RDielectric.pdf";"Digikey";"https://www.digikey.com/en/products/detail/avx-corporation/04025C101KAT2A/563199?s=N4IgTCBcDaICwHYAcBaAjABiQTnSgcgCIgC6AvkA";"478-1089-1-ND";"AVX Corporation";"04025C101KAT2A";"100pF/50V";
"1";"10nH / 200mA / 2%";"10NH_SMD-0402_200MA-1.35OHM-2%";"INDC1005X32N";"L4";"Choke Power Inductors";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773162&DocType=DS&DocLang=English";"Digikey";"https://www.digikey.com/en/products/detail/te-connectivity-passive-product/36401E10NGTDF/5399583?s=N4IgTCBcDaIIIEYwE4AsA2VBhAKgWgDkAREAXQF8g";"A129464CT-ND";"TE Connectivity Passive Product";"36401E10NGTDF";"10nH / 200mA / 2%";
"1";"150mA/75V";"GENERAL-PURPOSE_SMD-0402_GP_150MA-75V";"DFN100X60X55-2";"D2";"";"http://www.comchiptech.com/cms/UserFiles/CDSQR4148-HF-RevC213424.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=641-1677-1-ND";"641-1677-1-ND";"Comchip Technology";"CDSQR4148-HF";"150mA/75V";
"2";"15pF/100V";"15PF_SMD-0402_100V-10%";"CAPC1005X55_SMD-0402";"C27, C28";"";"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=HMK105CG150JV-F%20&u=M";"Digikey";"https://www.digikey.com/en/products/detail/taiyo-yuden/HMK105CG150JV-F/6563595?s=N4IgTCBcDaIKwA4DsBaOAGdYUEYUDkAREAXQF8g";"587-5002-1-ND";"Taiyo Yuden";"HMK105CG150JV-F";"15pF/100V";
"1";"1uF/25V";"1UF_CER_SMD-0402_25V-10%";"CAPC1005X55_SMD-0402";"C22";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-13185-1-ND";"445-13185-1-ND";"TDK Corporation";"CGB2A1X5R1E105K033BC";"1uF/25V";
"2";"1x05 MALE VERT";"1X05_PTH_VERT_MALE_2.54MM";"HDRV5W64P254_1X5_1270X254X838B";"J3, J4";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC05SAAN/859158?s=N4IgTCBcDaIMoEYAMCwFEC0SCsGByAIiALoC%2BQA";"S1012E-05-ND";"Sullins Connector Solutions";"PEC05SAAN";"1x05 MALE VERT";
